,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,653,0,14,53,6,72,241,205,7,11
bus,0,1030,91,23,1,1,0,0,6,124
metro,1,140,714,170,5,4,3,2,14,213
metro_station,130,23,54,796,39,19,75,76,32,34
park,2,0,0,0,950,61,0,11,10,0
public_square,43,11,3,6,64,509,23,170,53,0
shopping_mall,250,8,3,45,5,9,862,92,0,6
street_pedestrian,282,1,2,26,46,211,174,523,18,1
street_traffic,2,17,4,10,38,71,0,6,1102,0
tram,5,243,280,46,8,1,3,1,7,700
