,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,657,2,2,21,9,55,209,297,3,1
bus,0,1067,64,22,1,0,3,0,11,88
metro,2,191,776,129,2,1,3,3,5,164
metro_station,178,27,74,717,14,13,145,67,14,37
park,1,0,0,3,1010,22,0,9,11,1
public_square,40,6,0,5,127,425,10,180,81,2
shopping_mall,216,1,1,23,0,1,929,79,0,1
street_pedestrian,225,1,0,27,32,139,109,730,20,2
street_traffic,5,10,0,25,55,28,0,10,1147,0
tram,0,268,289,42,4,1,4,1,9,665
