,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,704,16,2,20,13,36,297,148,3,17
bus,0,1120,49,10,3,1,7,1,2,63
metro,2,298,565,119,2,3,17,4,7,259
metro_station,135,40,106,596,18,15,248,48,27,53
park,0,0,3,4,1021,10,2,5,5,7
public_square,82,12,13,14,154,362,24,128,66,21
shopping_mall,204,2,1,23,1,5,965,48,0,2
street_pedestrian,418,3,3,20,61,134,169,427,30,20
street_traffic,3,37,8,10,70,42,2,6,1100,2
tram,2,397,188,47,11,4,23,6,12,593
