,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,22,0,0,0,0,3,9,6,0,0
bus,0,36,2,0,0,0,1,0,1,1
metro,0,10,25,1,1,1,0,1,0,4
metro_station,4,2,4,17,0,0,4,4,0,0
park,0,0,0,0,31,2,0,2,0,0
public_square,2,0,0,0,2,19,2,6,1,0
shopping_mall,4,0,0,0,0,1,32,0,0,0
street_pedestrian,14,0,0,1,3,10,2,18,0,0
street_traffic,0,0,2,0,1,1,0,1,36,0
tram,0,17,4,0,1,0,0,0,0,26
