Class,Accuracy
airport,0.6153846153846154
bus,0.7037037037037037
metro,0.7142857142857143
metro_station,0.75
park,1.0
public_square,0.5714285714285714
shopping_mall,0.5416666666666666
street_pedestrian,0.35294117647058826
street_traffic,0.8695652173913043
tram,0.7391304347826086
