,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,7,0,0,1,0,1,4,3,0,0
bus,0,10,1,0,0,0,0,0,0,3
metro,0,0,14,1,0,0,0,0,0,5
metro_station,3,0,2,15,1,0,1,0,0,1
park,0,0,0,0,16,0,0,0,0,0
public_square,0,0,0,2,0,9,0,4,1,0
shopping_mall,4,0,0,1,0,0,19,0,0,0
street_pedestrian,9,0,0,0,0,2,1,8,0,0
street_traffic,0,1,0,1,0,1,0,0,21,0
tram,0,1,1,1,0,0,0,0,0,9
