,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,643,0,0,45,0,39,184,340,1,4
bus,0,1034,57,14,0,0,0,0,3,148
metro,0,147,810,89,2,0,1,3,5,219
metro_station,134,9,99,803,6,6,87,93,14,35
park,0,0,0,7,945,66,0,24,15,0
public_square,18,3,0,10,58,464,12,213,93,5
shopping_mall,215,0,1,44,0,3,908,76,0,4
street_pedestrian,203,0,0,28,13,170,109,739,23,0
street_traffic,1,16,3,19,39,41,0,13,1148,0
tram,4,188,245,39,5,0,0,1,7,794
