,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,731,0,18,44,1,46,214,199,1,2
bus,0,1045,123,5,0,0,0,0,0,83
metro,1,165,945,51,1,0,0,1,1,111
metro_station,256,19,242,633,10,3,56,33,10,24
park,0,0,1,10,952,71,0,16,7,0
public_square,41,6,5,12,54,488,10,198,62,0
shopping_mall,311,6,3,33,0,4,870,24,0,0
street_pedestrian,543,2,6,22,10,156,102,428,15,1
street_traffic,1,11,3,15,52,58,0,14,1126,0
tram,3,222,511,16,3,0,0,0,6,522
