,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,20,0,1,-36,0,30,-1,-18,-4,2
bus,0,60,-54,-5,0,0,0,-1,-7,-13
metro,2,55,-15,-22,0,-1,2,0,-2,-9
metro_station,31,11,-2,-40,-6,-4,36,-5,-11,-2
park,0,0,0,2,28,-3,0,1,-5,0
public_square,10,2,2,8,1,98,-5,-108,-14,0
shopping_mall,-5,-1,-2,-17,-1,1,22,-23,-2,-1
street_pedestrian,-25,0,0,-19,-5,62,-19,9,-2,0
street_traffic,1,11,0,8,11,12,0,4,-17,0
tram,0,22,-36,10,-1,-2,2,1,-1,-6
