precision,recall,f1-score,support
0.5006925207756233,0.5756369426751592,0.5355555555555556,1256.0
0.7386206896551725,0.8527070063694268,0.7915742793791575,1256.0
0.6604938271604939,0.670846394984326,0.6656298600311042,1276.0
0.7714016933207902,0.6376360808709176,0.6981694338016177,1286.0
0.9101229895931883,0.9101229895931883,0.9101229895931883,1057.0
0.5949895615866388,0.6506849315068494,0.6215921483097055,876.0
0.7080696202531646,0.715427657873701,0.7117296222664016,1251.0
0.5699013157894737,0.5392996108949416,0.5541783286685326,1285.0
0.9052547770700637,0.88828125,0.8966876971608833,1280.0
0.7041742286751361,0.6048324240062354,0.6507337526205451,1283.0
0.7023789856269619,0.7023789856269619,0.7023789856269619,0.7023789856269619
0.7063721223879745,0.7045475288774746,0.7035973667386691,12106.0
0.706666189086764,0.7023789856269619,0.7026039942704686,12106.0
