airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
723,0,11,36,1,67,165,249,2,2
0,1071,57,11,0,0,0,0,2,115
2,158,856,63,2,0,2,2,1,190
158,16,87,820,9,8,107,52,12,17
0,0,0,3,962,64,0,15,13,0
41,4,3,16,33,570,10,134,65,0
249,1,2,43,0,4,895,56,0,1
268,0,0,24,10,187,83,693,19,1
2,16,4,15,35,57,0,14,1137,0
1,184,276,32,5,1,2,1,5,776
