,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,721,0,7,50,2,45,145,280,3,3
bus,0,798,49,8,1,0,0,4,3,393
metro,1,68,750,69,2,1,3,2,5,375
metro_station,148,18,86,809,18,4,94,48,18,43
park,0,0,0,3,989,44,0,8,12,1
public_square,31,3,0,18,90,438,11,182,99,4
shopping_mall,252,2,1,50,1,6,851,83,0,5
street_pedestrian,265,0,0,44,26,154,78,689,27,2
street_traffic,3,13,1,14,59,21,0,17,1152,0
tram,0,76,182,26,11,1,1,0,7,979
