cluster_id,accuracy
0,0.11144578313253012
1,0.08097165991902834
2,0.07534246575342465
3,0.09623430962343096
4,0.10869565217391304
5,0.125
6,0.09900990099009901
7,0.08888888888888889
8,0.1
9,0.06923076923076923
