,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,632,1,23,21,3,74,241,255,2,4
bus,0,1061,76,5,1,1,0,0,0,112
metro,1,172,851,41,2,0,1,2,3,203
metro_station,175,27,174,644,14,7,146,39,17,43
park,0,3,2,2,963,71,0,3,10,3
public_square,29,10,4,7,86,517,18,145,59,1
shopping_mall,173,1,4,26,0,10,980,55,0,2
street_pedestrian,220,2,0,19,7,206,155,652,22,2
street_traffic,2,26,3,11,62,42,1,13,1119,1
tram,4,231,291,19,7,0,4,0,3,724
