,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,6,0,0,0,3,0,8,0,1,1
bus,0,21,0,0,0,0,0,0,1,3
metro,2,4,3,4,0,2,0,2,0,4
metro_station,4,0,1,8,1,1,5,2,0,2
park,0,0,0,0,18,1,0,1,1,0
public_square,3,0,0,1,2,3,0,0,6,1
shopping_mall,0,0,0,0,0,1,21,3,0,0
street_pedestrian,3,0,1,0,3,3,4,1,2,0
street_traffic,0,1,0,0,1,1,0,0,17,1
tram,2,6,3,1,2,2,1,0,0,15
