,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,9,0,3,3,0,1,11,35,0,0
bus,0,36,2,1,0,0,0,0,0,7
metro,5,9,14,6,0,1,6,0,0,24
metro_station,9,5,0,41,1,1,4,4,0,1
park,0,0,0,0,45,0,0,3,3,0
public_square,1,0,4,5,9,5,0,18,2,0
shopping_mall,0,0,0,1,1,0,39,7,0,1
street_pedestrian,2,0,3,1,5,4,6,36,0,1
street_traffic,1,1,0,1,5,2,2,1,47,0
tram,3,6,4,2,1,0,1,2,0,38
