,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
airport,519,0,9,45,4,85,338,241,5,10
bus,0,1064,76,14,1,0,1,1,6,93
metro,2,180,781,57,1,3,3,3,8,238
metro_station,114,28,165,646,13,17,145,75,29,54
park,0,0,1,3,956,57,0,23,16,1
public_square,27,5,7,11,69,483,33,129,109,3
shopping_mall,152,0,5,52,1,11,968,61,0,1
street_pedestrian,123,2,2,45,15,230,261,571,28,8
street_traffic,1,25,6,12,46,31,2,12,1145,0
tram,0,288,253,27,12,1,4,1,12,685
