airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
15,0,0,0,0,2,15,7,1,0
0,31,2,2,1,0,0,0,1,4
0,5,30,0,1,0,0,0,0,7
2,0,4,19,0,0,5,2,0,3
0,0,0,1,32,1,0,1,0,0
1,0,0,1,1,17,3,6,3,0
2,0,1,1,0,0,33,0,0,0
5,1,0,0,2,6,8,26,0,0
0,0,0,0,0,2,0,0,39,0
0,7,6,1,0,0,0,0,1,33
